name,closedday,address,codepostal,ville
Le Havane,Dimanche,102 R. MONTORGUEIL,75002,PARIS
LE WEEK END,Dimanche,59 R. DE TURBIGO,75003,PARIS
Le Troquet du Temple,Dimanche,9 R. DU TEMPLE,75004,PARIS
Tabac des Vosges,Lundi,25 R. DE TURENNES,75004,PARIS
Tabac Alfa,Dimanche,40 R. MONGE,75005,PARIS
Le Monge,Lundi,77 R. MONGE,75005,PARIS
Tabac Saint-Michel,,22 R. SAINT-ANDR? DES ARTS,75006,PARIS
Cherche Midi Presse,,50-52 R. DU CHERCHE-MIDI,75006,PARIS
L'Express,Dimanche,2 R. DU PDT ROBERT LAKOTA,91270,VIGNEUX-SUR-SEINE
le Longchamps,Dimanche,88 AV. ARISTIDE BRIAND,91420,MORANGIS
Le Cl¨¦menceau,Dimanche,276 AV. GEORGES CL?MENCEAU,92000,NANTERRE
Le Silly,Dimanche,143 R. DE SILLY,92100,BOULOGNE-BILLANCOURT
Le Lutecia,,27 AV. JEAN BAPTISTE CL?MENT,92100,BOULOGNE-BILLANCOURT
Le Bleu,Dimanche,22 R. DENFERT-ROCHEREAU,92100,BOULOGNE-BILLANCOURT
Au Ptit Creux Gourma,,11 R. GEORGES SEURAT,92110,CLICHY
Le Reilhac,Mardi,63 R. DU FBG SAINT-DENIS,75010,PARIS
Le Gallia,Dimanche,39 R. SAINT-AMBROISE,75011,PARIS
L'Harmonie,Dimanche,16 R. DU FAUBOURG DU TEMPLE,75011,PARIS
Le Marceau,Dimanche,111 AV. LEDRU ROLLIN,75011,PARIS
L'?toile D'Or,Dimanche,22 R. DE L'?TOILE,93000,BOBIGNY
Civette Rosny 2,Dimanche,2 AV. DU GAL DE GAULLE C.CIAL R2,93110,ROSNY-SOUS-BOIS
La Tabati¨¨re,Dimanche,31 R. PHILIBERT HOFFMANN,93110,ROSNY-SOUS-BOIS
L'Impr¨¦vu,Dimanche,1 AV. PAUL VAILLANT COUTURIER,93120,LA COURNEUVE
Brasserie 6 Routes,Dimanche,1 R. SAINT-DENIS,93120,LA COURNEUVE
Tabac du Centre,Dimanche,64 R. JULES GUESDE,93140,BONDY
Maison de la Presse,Dimanche,33BIS AV. HENRI BARBUSSE,93150,LE BLANC-MESNIL
Le Globe,Lundi,27 AV. PIERRE ET MARIE CURIE,93150,LE BLANC-MESNIL
Cherbourg Presse,Dimanche,47 AV. DE STALINGRAD,93170,BAGNOLET
La Civette de Chanzy,Dimanche,4 BD. DE CHANZY,93190,LIVRY-GARGAN
L'Ariel,Dimanche,242 R. DE TOLBIAC,75013,PARIS
