DATE,TIME,NO,NO2,PM10,CO2,TEMP,HUMI,score
2021/11/28,23:00:00+00:00,3,27,22,491,"14,7","39,7",
2021/11/28,22:00:00+00:00,3,27,29,515,"14,9","39,4",
2021/11/28,21:00:00+00:00,4,29,30,526,15,"39,4",
2021/11/28,20:00:00+00:00,3,29,34,573,"15,1","40,5",
2021/11/28,19:00:00+00:00,3,29,35,589,"15,1","40,5",
2021/11/28,18:00:00+00:00,3,24,34,599,"15,1","39,9",
2021/11/28,17:00:00+00:00,3,20,37,577,15,"39,9",
2021/11/28,16:00:00+00:00,2,18,26,558,15,"40,2",
2021/11/28,15:00:00+00:00,3,17,23,553,15,"40,4",
2021/11/28,14:00:00+00:00,2,15,26,519,15,"41,3",
2021/11/28,13:00:00+00:00,2,17,16,515,15,"43,7",
2021/11/28,12:00:00+00:00,2,16,6,463,"15,1","43,1",
2021/11/28,11:00:00+00:00,2,15,6,453,"15,2","43,4",
2021/11/28,04:00:00+00:00,2,13,7,445,"15,4","44,2",
2021/11/28,03:00:00+00:00,2,15,9,453,"15,6","44,2",
2021/11/28,02:00:00+00:00,4,22,15,504,"15,6","45,6",
2021/11/28,01:00:00+00:00,6,30,18,520,"15,5","47,2",
2021/11/28,00:00:00+00:00,5,23,20,536,"15,4","46,6",
2021/11/27,23:00:00+00:00,6,30,20,539,"15,3","45,9",
2021/11/27,22:00:00+00:00,13,40,30,575,"15,4","44,3",
2021/11/27,21:00:00+00:00,12,40,29,614,"15,6","42,4",
2021/11/27,20:00:00+00:00,9,34,43,665,"15,5","42,5",
2021/11/27,19:00:00+00:00,7,28,41,699,"15,4","44,3",
2021/11/27,18:00:00+00:00,6,26,44,721,"15,7","46,1",
2021/11/27,17:00:00+00:00,8,32,48,661,"15,2","46,8",
2021/11/27,16:00:00+00:00,9,32,54,664,"15,2",47,
2021/11/27,15:00:00+00:00,5,27,48,619,"15,4",46,
2021/11/27,14:00:00+00:00,5,27,42,597,"15,2",46,
2021/11/27,13:00:00+00:00,5,25,35,604,"15,3","44,5",
2021/11/27,12:00:00+00:00,4,24,34,546,"15,1","44,1",
2021/11/27,11:00:00+00:00,4,26,26,528,"14,8",44,
2021/11/27,10:00:00+00:00,5,28,23,507,"14,6",44,
2021/11/27,09:00:00+00:00,4,24,21,485,"14,6","43,6",
2021/11/27,08:00:00+00:00,4,21,19,478,"14,8","41,4",
2021/11/27,07:00:00+00:00,2,18,12,464,"15,1",41,
2021/11/27,02:00:00+00:00,4,22,15,498,"16,1","44,2",
2021/11/27,01:00:00+00:00,4,23,19,522,"16,2","44,9",
2021/11/27,00:00:00+00:00,4,21,20,528,"16,3","45,1",
2021/11/26,23:00:00+00:00,4,26,21,526,"16,4","44,5",
2021/11/26,22:00:00+00:00,5,29,22,550,"16,5","44,8",
2021/11/26,21:00:00+00:00,6,28,37,641,"16,7","47,1",
2021/11/26,20:00:00+00:00,7,30,43,637,"16,5","48,4",
2021/11/26,19:00:00+00:00,7,29,44,690,"16,4","48,4",
2021/11/26,18:00:00+00:00,8,31,36,721,"16,4","48,9",
2021/11/26,17:00:00+00:00,6,26,58,710,"16,3","47,3",
2021/11/26,16:00:00+00:00,6,29,39,611,"15,9","45,4",
2021/11/26,15:00:00+00:00,7,31,28,584,"15,8","44,3",
2021/11/26,14:00:00+00:00,7,30,31,578,"15,8","42,7",
2021/11/26,13:00:00+00:00,8,32,25,577,"15,7","41,3",
2021/11/26,12:00:00+00:00,16,41,32,543,"15,3","41,6",
2021/11/26,11:00:00+00:00,18,39,30,539,"15,1","43,7",
2021/11/26,10:00:00+00:00,29,41,44,591,15,"45,3",
2021/11/26,09:00:00+00:00,26,43,41,581,"14,8","46,4",
2021/11/26,08:00:00+00:00,23,41,21,546,"14,9","46,2",
2021/11/26,07:00:00+00:00,10,32,16,488,"15,1",45,
2021/11/26,06:00:00+00:00,5,28,7,475,"15,4","44,9",
2021/11/26,05:00:00+00:00,5,22,16,458,"16,4","43,2",
2021/11/26,04:00:00+00:00,3,21,14,458,17,"41,9",
2021/11/26,03:00:00+00:00,2,21,24,456,"16,4","43,3",
