unit,x,y,food,frozen food,office supplies,furniture,daily necessities
A1,1,1,0,0,0,0,0
A2,2,1,0,0,0,0,0
A3,3,1,0,0,0,0,0
A4,4,1,0,0,0,0,0
A5,5,1,0,0,0,0,0
A6,6,1,0,0,0,0,0
A7,7,1,0,0,0,0,0
A8,8,1,0,0,0,0,0
A9,9,1,0,0,0,0,0
A10,10,1,0,0,0,0,0
A11,11,1,0,0,0,0,0
A12,12,1,0,0,0,0,0
A13,13,1,0,0,0,0,0
A14,14,1,0,0,0,0,0
A15,15,1,0,0,0,0,0
A16,16,1,0,0,0,0,0
A17,17,1,0,0,0,0,0
A18,18,1,0,0,0,0,0
A19,19,1,0,0,0,0,0
A20,20,1,0,0,0,0,0
A21,21,1,0,0,0,0,0
A22,22,1,0,0,0,0,0
A23,23,1,0,0,0,0,0
A24,24,1,0,0,0,0,0
A25,25,1,0,0,0,0,0
A26,26,1,0,0,0,0,0
A27,27,1,0,0,0,0,0
A28,28,1,0,0,0,0,0
A29,29,1,0,0,0,0,0
A30,30,1,0,0,0,0,0
A31,31,1,0,0,0,0,0
A32,32,1,0,0,0,0,0
A33,33,1,0,0,0,0,0
A34,34,1,0,0,0,0,0
A35,35,1,0,0,0,0,0
A36,36,1,0,0,0,0,0
A37,37,1,0,0,0,0,0
A38,38,1,0,0,0,0,0
A39,39,1,0,0,0,0,0
A40,40,1,0,0,0,0,0
A41,41,1,0,0,0,0,0
A42,42,1,0,0,0,0,0
A43,43,1,0,0,0,0,0
A44,44,1,0,0,0,0,0
A45,45,1,0,0,0,0,0
A46,46,1,0,0,0,0,0
A47,47,1,0,0,0,0,0
A48,48,1,0,0,0,0,0
A49,49,1,0,0,0,0,0
A50,50,1,0,0,0,0,0
A51,51,1,0,0,0,0,0
A52,52,1,0,0,0,0,0
A53,53,1,0,0,0,0,0
A54,54,1,0,0,0,0,0
A55,55,1,0,0,0,0,0
A56,56,1,0,0,0,0,0
A57,57,1,0,0,0,0,0
A58,58,1,0,0,0,0,0
A59,59,1,0,0,0,0,0
A60,60,1,0,0,0,0,0
A61,61,1,0,0,0,0,0
A62,62,1,0,0,0,0,0
A63,63,1,0,0,0,0,0
A64,64,1,0,0,0,0,0
A65,65,1,0,0,0,0,0
A66,66,1,0,0,0,0,0
A67,67,1,0,0,0,0,0
A68,68,1,0,0,0,0,0
A69,69,1,0,0,0,0,0
A70,70,1,0,0,0,0,0
A71,71,1,0,0,0,0,0
A72,72,1,0,0,0,0,0
A73,73,1,0,0,0,0,0
A74,74,1,0,0,0,0,0
A75,75,1,0,0,0,0,0
A76,76,1,0,0,0,0,0
A77,77,1,0,0,0,0,0
A78,78,1,0,0,0,0,0
A79,79,1,0,0,0,0,0
A80,80,1,0,0,0,0,0
A81,81,1,0,0,0,0,0
A82,82,1,0,0,0,0,0
A83,83,1,0,0,0,0,0
A84,84,1,0,0,0,0,0
A85,85,1,0,0,0,0,0
A86,86,1,0,0,0,0,0
A87,87,1,0,0,0,0,0
A88,88,1,0,0,0,0,0
A89,89,1,0,0,0,0,0
A90,90,1,0,0,0,0,0
A91,91,1,0,0,0,0,0
A92,92,1,0,0,0,0,0
A93,93,1,0,0,0,0,0
A94,94,1,0,0,0,0,0
A95,95,1,0,0,0,0,0
A96,96,1,0,0,0,0,0
A97,97,1,0,0,0,0,0
A98,98,1,0,0,0,0,0
A99,99,1,0,0,0,0,0
A100,100,1,0,0,0,0,0
A101,101,1,0,0,0,0,0
A102,102,1,0,0,0,0,0
A103,103,1,0,0,0,0,0
A104,104,1,0,0,0,0,0
A105,105,1,0,0,0,0,0
A106,106,1,0,0,0,0,0
A107,107,1,0,0,0,0,0
A108,108,1,0,0,0,0,0
A109,109,1,0,0,0,0,0
A110,110,1,0,0,0,0,0
A111,111,1,0,0,0,0,0
A112,112,1,0,0,0,0,0
A113,113,1,0,0,0,0,0
A114,114,1,0,0,0,0,0
A115,115,1,0,0,0,0,0
A116,116,1,0,0,0,0,0
A117,117,1,0,0,0,0,0
A118,118,1,0,0,0,0,0
A119,119,1,0,0,0,0,0
A120,120,1,0,0,0,0,0
A121,121,1,0,0,0,0,0
A122,122,1,0,0,0,0,0
A123,123,1,0,0,0,0,0
A124,124,1,0,0,0,0,0
A125,125,1,0,0,0,0,0
A126,126,1,0,0,0,0,0
A127,127,1,0,0,0,0,0
A128,128,1,0,0,0,0,0
A129,129,1,0,0,0,0,0
A130,130,1,0,0,0,0,0
A131,131,1,0,0,0,0,0
A132,132,1,0,0,0,0,0
A133,133,1,0,0,0,0,0
A134,134,1,0,0,0,0,0
A135,135,1,0,0,0,0,0
A136,136,1,0,0,0,0,0
A137,137,1,0,0,0,0,0
A138,138,1,0,0,0,0,0
A139,139,1,0,0,0,0,0
A140,140,1,0,0,0,0,0
A141,141,1,0,0,0,0,0
A142,142,1,0,0,0,0,0
A143,143,1,0,0,0,0,0
A144,144,1,0,0,0,0,0
A145,145,1,0,0,0,0,0
A146,146,1,0,0,0,0,0
A147,147,1,0,0,0,0,0
A148,148,1,0,0,0,0,0
A149,149,1,0,0,0,0,0
A150,150,1,0,0,0,0,0
A151,151,1,0,0,0,0,0
A152,152,1,0,0,0,0,0
A153,153,1,0,0,0,0,0
A154,154,1,0,0,0,0,0
A155,155,1,0,0,0,0,0
A156,156,1,0,0,0,0,0
A157,157,1,0,0,0,0,0
A158,158,1,0,0,0,0,0
A159,159,1,0,0,0,0,0
A160,160,1,0,0,0,0,0
A161,161,1,0,0,0,0,0
A162,162,1,0,0,0,0,0
A163,163,1,0,0,0,0,0
A164,164,1,0,0,0,0,0
A165,165,1,0,0,0,0,0
A166,166,1,0,0,0,0,0
A167,167,1,0,0,0,0,0
A168,168,1,0,0,0,0,0
A169,169,1,0,0,0,0,0
A170,170,1,0,0,0,0,0
A171,171,1,0,0,0,0,0
A172,172,1,0,0,0,0,0
A173,173,1,0,0,0,0,0
A174,174,1,0,0,0,0,0
A175,175,1,0,0,0,0,0
A176,176,1,0,0,0,0,0
A177,177,1,0,0,0,0,0
A178,178,1,0,0,0,0,0
A179,179,1,0,0,0,0,0
A180,180,1,0,0,0,0,0
A181,181,1,0,0,0,0,0
A182,182,1,0,0,0,0,0
A183,183,1,0,0,0,0,0
A184,184,1,0,0,0,0,0
A185,185,1,0,0,0,0,0
A186,186,1,0,0,0,0,0
A187,187,1,0,0,0,0,0
A188,188,1,0,0,0,0,0
A189,189,1,0,0,0,0,0
A190,190,1,0,0,0,0,0
A191,191,1,0,0,0,0,0
A192,192,1,0,0,0,0,0
A193,193,1,0,0,0,0,0
A194,194,1,0,0,0,0,0
A195,195,1,0,0,0,0,0
A196,196,1,0,0,0,0,0
A197,197,1,0,0,0,0,0
A198,198,1,0,0,0,0,0
A199,199,1,0,0,0,0,0
A200,200,1,0,0,0,0,0
A201,201,1,0,0,0,0,0
A202,202,1,0,0,0,0,0
A203,203,1,0,0,0,0,0
A204,204,1,0,0,0,0,0
A205,205,1,0,0,0,0,0
A206,206,1,0,0,0,0,0
A207,207,1,0,0,0,0,0
A208,208,1,0,0,0,0,0
A209,209,1,0,0,0,0,0
A210,210,1,0,0,0,0,0
A211,1,2,0,0,0,0,0
A212,2,2,0,0,0,0,0
A213,3,2,0,0,0,0,0
A214,4,2,0,0,0,0,0
A215,5,2,0,0,0,0,0
A216,6,2,0,0,0,0,0
A217,7,2,0,0,0,0,0
A218,8,2,0,0,0,0,0
A219,9,2,0,0,0,0,0
A220,10,2,0,0,0,0,0
A221,11,2,0,0,0,0,0
A222,12,2,0,0,0,0,0
A223,13,2,0,0,0,0,0
A224,14,2,0,0,0,0,0
A225,15,2,0,0,0,0,0
A226,16,2,0,0,0,0,0
A227,17,2,0,0,0,0,0
A228,18,2,0,0,0,0,0
A229,19,2,0,0,0,0,0
A230,20,2,0,0,0,0,0
A231,21,2,0,0,0,0,0
A232,22,2,0,0,0,0,0
A233,23,2,0,0,0,0,0
A234,24,2,0,0,0,0,0
A235,25,2,0,0,0,0,0
A236,26,2,0,0,0,0,0
A237,27,2,0,0,0,0,0
A238,28,2,0,0,0,0,0
A239,29,2,0,0,0,0,0
A240,30,2,0,0,0,0,0
A241,31,2,0,0,0,0,0
A242,32,2,0,0,0,0,0
A243,33,2,0,0,0,0,0
A244,34,2,0,0,0,0,0
A245,35,2,0,0,0,0,0
A246,36,2,0,0,0,0,0
A247,37,2,0,0,0,0,0
A248,38,2,0,0,0,0,0
A249,39,2,0,0,0,0,0
A250,40,2,0,0,0,0,0
A251,41,2,0,0,0,0,0
A252,42,2,0,0,0,0,0
A253,43,2,0,0,0,0,0
A254,44,2,0,0,0,0,0
A255,45,2,0,0,0,0,0
A256,46,2,0,0,0,0,0
A257,47,2,0,0,0,0,0
A258,48,2,0,0,0,0,0
A259,49,2,0,0,0,0,0
A260,50,2,0,0,0,0,0
A261,51,2,0,0,0,0,0
A262,52,2,0,0,0,0,0
A263,53,2,0,0,0,0,0
A264,54,2,0,0,0,0,0
A265,55,2,0,0,0,0,0
A266,56,2,0,0,0,0,0
A267,57,2,0,0,0,0,0
A268,58,2,0,0,0,0,0
A269,59,2,0,0,0,0,0
A270,60,2,0,0,0,0,0
A271,61,2,0,0,0,0,0
A272,62,2,0,0,0,0,0
A273,63,2,0,0,0,0,0
A274,64,2,0,0,0,0,0
A275,65,2,0,0,0,0,0
A276,66,2,0,0,0,0,0
A277,67,2,0,0,0,0,0
A278,68,2,0,0,0,0,0
A279,69,2,0,0,0,0,0
A280,70,2,0,0,0,0,0
A281,71,2,0,0,0,0,0
A282,72,2,0,0,0,0,0
A283,73,2,0,0,0,0,0
A284,74,2,0,0,0,0,0
A285,75,2,0,0,0,0,0
A286,76,2,0,0,0,0,0
A287,77,2,0,0,0,0,0
A288,78,2,0,0,0,0,0
A289,79,2,0,0,0,0,0
A290,80,2,0,0,0,0,0
A291,81,2,0,0,0,0,0
A292,82,2,0,0,0,0,0
A293,83,2,0,0,0,0,0
A294,84,2,0,0,0,0,0
A295,85,2,0,0,0,0,0
A296,86,2,0,0,0,0,0
A297,87,2,0,0,0,0,0
A298,88,2,0,0,0,0,0
A299,89,2,0,0,0,0,0
A300,90,2,0,0,0,0,0
A301,91,2,0,0,0,0,0
A302,92,2,0,0,0,0,0
A303,93,2,0,0,0,0,0
A304,94,2,0,0,0,0,0
A305,95,2,0,0,0,0,0
A306,96,2,0,0,0,0,0
A307,97,2,0,0,0,0,0
A308,98,2,0,0,0,0,0
A309,99,2,0,0,0,0,0
A310,100,2,0,0,0,0,0
A311,101,2,0,0,0,0,0
A312,102,2,0,0,0,0,0
A313,103,2,0,0,0,0,0
A314,104,2,0,0,0,0,0
A315,105,2,0,0,0,0,0
A316,106,2,0,0,0,0,0
A317,107,2,0,0,0,0,0
A318,108,2,0,0,0,0,0
A319,109,2,0,0,0,0,0
A320,110,2,0,0,0,0,0
A321,111,2,0,0,0,0,0
A322,112,2,0,0,0,0,0
A323,113,2,0,0,0,0,0
A324,114,2,0,0,0,0,0
A325,115,2,0,0,0,0,0
A326,116,2,0,0,0,0,0
A327,117,2,0,0,0,0,0
A328,118,2,0,0,0,0,0
A329,119,2,0,0,0,0,0
A330,120,2,0,0,0,0,0
A331,121,2,0,0,0,0,0
A332,122,2,0,0,0,0,0
A333,123,2,0,0,0,0,0
A334,124,2,0,0,0,0,0
A335,125,2,0,0,0,0,0
A336,126,2,0,0,0,0,0
A337,127,2,0,0,0,0,0
A338,128,2,0,0,0,0,0
A339,129,2,0,0,0,0,0
A340,130,2,0,0,0,0,0
A341,131,2,0,0,0,0,0
A342,132,2,0,0,0,0,0
A343,133,2,0,0,0,0,0
A344,134,2,0,0,0,0,0
A345,135,2,0,0,0,0,0
A346,136,2,0,0,0,0,0
A347,137,2,0,0,0,0,0
A348,138,2,0,0,0,0,0
A349,139,2,0,0,0,0,0
A350,140,2,0,0,0,0,0
A351,141,2,0,0,0,0,0
A352,142,2,0,0,0,0,0
A353,143,2,0,0,0,0,0
A354,144,2,0,0,0,0,0
A355,145,2,0,0,0,0,0
A356,146,2,0,0,0,0,0
A357,147,2,0,0,0,0,0
A358,148,2,0,0,0,0,0
A359,149,2,0,0,0,0,0
A360,150,2,0,0,0,0,0
A361,151,2,0,0,0,0,0
A362,152,2,0,0,0,0,0
A363,153,2,0,0,0,0,0
A364,154,2,0,0,0,0,0
A365,155,2,0,0,0,0,0
A366,156,2,0,0,0,0,0
A367,157,2,0,0,0,0,0
A368,158,2,0,0,0,0,0
A369,159,2,0,0,0,0,0
A370,160,2,0,0,0,0,0
A371,161,2,0,0,0,0,0
A372,162,2,0,0,0,0,0
A373,163,2,0,0,0,0,0
A374,164,2,0,0,0,0,0
A375,165,2,0,0,0,0,0
A376,166,2,0,0,0,0,0
A377,167,2,0,0,0,0,0
A378,168,2,0,0,0,0,0
A379,169,2,0,0,0,0,0
A380,170,2,0,0,0,0,0
A381,171,2,0,0,0,0,0
A382,172,2,0,0,0,0,0
A383,173,2,0,0,0,0,0
A384,174,2,0,0,0,0,0
A385,175,2,0,0,0,0,0
A386,176,2,0,0,0,0,0
A387,177,2,0,0,0,0,0
A388,178,2,0,0,0,0,0
A389,179,2,0,0,0,0,0
A390,180,2,0,0,0,0,0
A391,181,2,0,0,0,0,0
A392,182,2,0,0,0,0,0
A393,183,2,0,0,0,0,0
A394,184,2,0,0,0,0,0
A395,185,2,0,0,0,0,0
A396,186,2,0,0,0,0,0
A397,187,2,0,0,0,0,0
A398,188,2,0,0,0,0,0
A399,189,2,0,0,0,0,0
A400,190,2,0,0,0,0,0
A401,191,2,0,0,0,0,0
A402,192,2,0,0,0,0,0
A403,193,2,0,0,0,0,0
A404,194,2,0,0,0,0,0
A405,195,2,0,0,0,0,0
A406,196,2,0,0,0,0,0
A407,197,2,0,0,0,0,0
A408,198,2,0,0,0,0,0
A409,199,2,0,0,0,0,0
A410,200,2,0,0,0,0,0
A411,201,2,0,0,0,0,0
A412,202,2,0,0,0,0,0
A413,203,2,0,0,0,0,0
A414,204,2,0,0,0,0,0
A415,205,2,0,0,0,0,0
A416,206,2,0,0,0,0,0
A417,207,2,0,0,0,0,0
A418,208,2,0,0,0,0,0
A419,209,2,0,0,0,0,0
A420,210,2,0,0,0,0,0
A421,1,3,0,0,0,0,0
A422,2,3,0,0,0,0,0
A423,3,3,0,0,0,0,0
A424,4,3,0,0,0,0,0
A425,5,3,0,0,0,0,0
A426,6,3,0,0,0,0,0
A427,7,3,0,0,0,0,0
A428,8,3,0,0,0,0,0
A429,9,3,0,0,0,0,0
A430,10,3,0,0,0,0,0
A431,11,3,0,0,0,0,0
A432,12,3,0,0,0,0,0
A433,13,3,0,0,0,0,0
A434,14,3,0,0,0,0,0
A435,15,3,0,0,0,0,0
A436,16,3,0,0,0,0,0
A437,17,3,0,0,0,0,0
A438,18,3,0,0,0,0,0
A439,19,3,0,0,0,0,0
A440,20,3,0,0,0,0,0
A441,21,3,0,0,0,0,0
A442,22,3,0,0,0,0,0
A443,23,3,0,0,0,0,0
A444,24,3,0,0,0,0,0
A445,25,3,0,0,0,0,0
A446,26,3,0,0,0,0,0
A447,27,3,0,0,0,0,0
A448,28,3,0,0,0,0,0
A449,29,3,0,0,0,0,0
A450,30,3,0,0,0,0,0
A451,31,3,0,0,0,0,0
A452,32,3,0,0,0,0,0
A453,33,3,0,0,0,0,0
A454,34,3,0,0,0,0,0
A455,35,3,0,0,0,0,0
A456,36,3,0,0,0,0,0
A457,37,3,0,0,0,0,0
